timestamp,state,city,order_volume
2025-11-02 01:00:00,Delhi,New Delhi,250
2025-11-02 01:00:00,Goa,Panaji,11
2025-11-02 01:00:00,Goa,Vasco da Gama,4
2025-11-02 01:00:00,Gujarat,Ahmedabad,94
2025-11-02 01:00:00,Gujarat,Surat,64
2025-11-02 01:00:00,Gujarat,Vadodara,72
2025-11-02 01:00:00,Karnataka,Bengaluru,22
2025-11-02 01:00:00,Karnataka,Mangaluru,16
2025-11-02 01:00:00,Karnataka,Mysuru,21
2025-11-02 01:00:00,Maharashtra,Kolhapur,32
2025-11-02 01:00:00,Maharashtra,Mumbai,70
2025-11-02 01:00:00,Maharashtra,Nagpur,65
2025-11-02 01:00:00,Maharashtra,Pune,83
2025-11-02 01:00:00,Tamil Nadu,Chennai,166
2025-11-02 01:00:00,Tamil Nadu,Coimbatore,71
2025-11-02 01:00:00,Telangana,Hyderabad,120
2025-11-02 01:00:00,West Bengal,Kolkata,65
2025-11-02 02:00:00,Delhi,New Delhi,256
2025-11-02 02:00:00,Goa,Panaji,11
2025-11-02 02:00:00,Goa,Vasco da Gama,0
2025-11-02 02:00:00,Gujarat,Ahmedabad,101
2025-11-02 02:00:00,Gujarat,Surat,103
2025-11-02 02:00:00,Gujarat,Vadodara,36
2025-11-02 02:00:00,Karnataka,Bengaluru,87
2025-11-02 02:00:00,Karnataka,Mangaluru,8
2025-11-02 02:00:00,Karnataka,Mysuru,39
2025-11-02 02:00:00,Maharashtra,Kolhapur,14
2025-11-02 02:00:00,Maharashtra,Mumbai,132
2025-11-02 02:00:00,Maharashtra,Nagpur,46
2025-11-02 02:00:00,Maharashtra,Pune,44
2025-11-02 02:00:00,Tamil Nadu,Chennai,98
2025-11-02 02:00:00,Tamil Nadu,Coimbatore,21
2025-11-02 02:00:00,Telangana,Hyderabad,134
2025-11-02 02:00:00,West Bengal,Kolkata,44
2025-11-02 03:00:00,Delhi,New Delhi,87
2025-11-02 03:00:00,Goa,Panaji,32
2025-11-02 03:00:00,Goa,Vasco da Gama,1
2025-11-02 03:00:00,Gujarat,Ahmedabad,66
2025-11-02 03:00:00,Gujarat,Surat,43
2025-11-02 03:00:00,Gujarat,Vadodara,75
2025-11-02 03:00:00,Karnataka,Bengaluru,44
2025-11-02 03:00:00,Karnataka,Mangaluru,19
2025-11-02 03:00:00,Karnataka,Mysuru,31
2025-11-02 03:00:00,Maharashtra,Kolhapur,23
2025-11-02 03:00:00,Maharashtra,Mumbai,198
2025-11-02 03:00:00,Maharashtra,Nagpur,13
2025-11-02 03:00:00,Maharashtra,Pune,0
2025-11-02 03:00:00,Tamil Nadu,Chennai,68
2025-11-02 03:00:00,Tamil Nadu,Coimbatore,34
2025-11-02 03:00:00,Telangana,Hyderabad,0
2025-11-02 03:00:00,West Bengal,Kolkata,68
2025-11-02 04:00:00,Delhi,New Delhi,266
2025-11-02 04:00:00,Goa,Panaji,32
2025-11-02 04:00:00,Goa,Vasco da Gama,0
2025-11-02 04:00:00,Gujarat,Ahmedabad,31
2025-11-02 04:00:00,Gujarat,Surat,30
2025-11-02 04:00:00,Gujarat,Vadodara,35
2025-11-02 04:00:00,Karnataka,Bengaluru,110
2025-11-02 04:00:00,Karnataka,Mangaluru,15
2025-11-02 04:00:00,Karnataka,Mysuru,11
2025-11-02 04:00:00,Maharashtra,Kolhapur,15
2025-11-02 04:00:00,Maharashtra,Mumbai,59
2025-11-02 04:00:00,Maharashtra,Nagpur,31
2025-11-02 04:00:00,Maharashtra,Pune,75
2025-11-02 04:00:00,Tamil Nadu,Chennai,114
2025-11-02 04:00:00,Tamil Nadu,Coimbatore,41
2025-11-02 04:00:00,Telangana,Hyderabad,53
2025-11-02 04:00:00,West Bengal,Kolkata,62
2025-11-02 05:00:00,Delhi,New Delhi,230
2025-11-02 05:00:00,Goa,Panaji,16
2025-11-02 05:00:00,Goa,Vasco da Gama,10
2025-11-02 05:00:00,Gujarat,Ahmedabad,98
2025-11-02 05:00:00,Gujarat,Surat,49
2025-11-02 05:00:00,Gujarat,Vadodara,34
2025-11-02 05:00:00,Karnataka,Bengaluru,177
2025-11-02 05:00:00,Karnataka,Mangaluru,29
2025-11-02 05:00:00,Karnataka,Mysuru,11
2025-11-02 05:00:00,Maharashtra,Kolhapur,19
2025-11-02 05:00:00,Maharashtra,Mumbai,97
2025-11-02 05:00:00,Maharashtra,Nagpur,21
2025-11-02 05:00:00,Maharashtra,Pune,24
2025-11-02 05:00:00,Tamil Nadu,Chennai,31
2025-11-02 05:00:00,Tamil Nadu,Coimbatore,25
2025-11-02 05:00:00,Telangana,Hyderabad,61
2025-11-02 05:00:00,West Bengal,Kolkata,60
2025-11-02 06:00:00,Delhi,New Delhi,1103
2025-11-02 06:00:00,Goa,Panaji,138
2025-11-02 06:00:00,Goa,Vasco da Gama,65
2025-11-02 06:00:00,Gujarat,Ahmedabad,547
2025-11-02 06:00:00,Gujarat,Surat,474
2025-11-02 06:00:00,Gujarat,Vadodara,272
2025-11-02 06:00:00,Karnataka,Bengaluru,908
2025-11-02 06:00:00,Karnataka,Mangaluru,166
2025-11-02 06:00:00,Karnataka,Mysuru,210
2025-11-02 06:00:00,Maharashtra,Kolhapur,140
2025-11-02 06:00:00,Maharashtra,Mumbai,968
2025-11-02 06:00:00,Maharashtra,Nagpur,260
2025-11-02 06:00:00,Maharashtra,Pune,445
2025-11-02 06:00:00,Tamil Nadu,Chennai,553
2025-11-02 06:00:00,Tamil Nadu,Coimbatore,327
2025-11-02 06:00:00,Telangana,Hyderabad,762
2025-11-02 06:00:00,West Bengal,Kolkata,458
2025-11-02 07:00:00,Delhi,New Delhi,1034
2025-11-02 07:00:00,Goa,Panaji,85
2025-11-02 07:00:00,Goa,Vasco da Gama,70
2025-11-02 07:00:00,Gujarat,Ahmedabad,578
2025-11-02 07:00:00,Gujarat,Surat,467
2025-11-02 07:00:00,Gujarat,Vadodara,281
2025-11-02 07:00:00,Karnataka,Bengaluru,905
2025-11-02 07:00:00,Karnataka,Mangaluru,169
2025-11-02 07:00:00,Karnataka,Mysuru,218
2025-11-02 07:00:00,Maharashtra,Kolhapur,157
2025-11-02 07:00:00,Maharashtra,Mumbai,1043
2025-11-02 07:00:00,Maharashtra,Nagpur,242
2025-11-02 07:00:00,Maharashtra,Pune,456
2025-11-02 07:00:00,Tamil Nadu,Chennai,609
2025-11-02 07:00:00,Tamil Nadu,Coimbatore,285
2025-11-02 07:00:00,Telangana,Hyderabad,647
2025-11-02 07:00:00,West Bengal,Kolkata,445
2025-11-02 08:00:00,Delhi,New Delhi,1105
2025-11-02 08:00:00,Goa,Panaji,116
2025-11-02 08:00:00,Goa,Vasco da Gama,79
2025-11-02 08:00:00,Gujarat,Ahmedabad,500
2025-11-02 08:00:00,Gujarat,Surat,496
2025-11-02 08:00:00,Gujarat,Vadodara,274
2025-11-02 08:00:00,Karnataka,Bengaluru,838
2025-11-02 08:00:00,Karnataka,Mangaluru,172
2025-11-02 08:00:00,Karnataka,Mysuru,211
2025-11-02 08:00:00,Maharashtra,Kolhapur,143
2025-11-02 08:00:00,Maharashtra,Mumbai,980
2025-11-02 08:00:00,Maharashtra,Nagpur,227
2025-11-02 08:00:00,Maharashtra,Pune,447
2025-11-02 08:00:00,Tamil Nadu,Chennai,621
2025-11-02 08:00:00,Tamil Nadu,Coimbatore,297
2025-11-02 08:00:00,Telangana,Hyderabad,677
2025-11-02 08:00:00,West Bengal,Kolkata,498
2025-11-02 09:00:00,Delhi,New Delhi,1089
2025-11-02 09:00:00,Goa,Panaji,114
2025-11-02 09:00:00,Goa,Vasco da Gama,66
2025-11-02 09:00:00,Gujarat,Ahmedabad,522
2025-11-02 09:00:00,Gujarat,Surat,471
2025-11-02 09:00:00,Gujarat,Vadodara,250
2025-11-02 09:00:00,Karnataka,Bengaluru,926
2025-11-02 09:00:00,Karnataka,Mangaluru,156
2025-11-02 09:00:00,Karnataka,Mysuru,199
2025-11-02 09:00:00,Maharashtra,Kolhapur,147
2025-11-02 09:00:00,Maharashtra,Mumbai,1016
2025-11-02 09:00:00,Maharashtra,Nagpur,271
2025-11-02 09:00:00,Maharashtra,Pune,434
2025-11-02 09:00:00,Tamil Nadu,Chennai,617
2025-11-02 09:00:00,Tamil Nadu,Coimbatore,304
2025-11-02 09:00:00,Telangana,Hyderabad,675
2025-11-02 09:00:00,West Bengal,Kolkata,490
2025-11-02 10:00:00,Delhi,New Delhi,1959
2025-11-02 10:00:00,Goa,Panaji,212
2025-11-02 10:00:00,Goa,Vasco da Gama,142
2025-11-02 10:00:00,Gujarat,Ahmedabad,1070
2025-11-02 10:00:00,Gujarat,Surat,883
2025-11-02 10:00:00,Gujarat,Vadodara,521
2025-11-02 10:00:00,Karnataka,Bengaluru,1860
2025-11-02 10:00:00,Karnataka,Mangaluru,318
2025-11-02 10:00:00,Karnataka,Mysuru,431
2025-11-02 10:00:00,Maharashtra,Kolhapur,273
2025-11-02 10:00:00,Maharashtra,Mumbai,1819
2025-11-02 10:00:00,Maharashtra,Nagpur,463
2025-11-02 10:00:00,Maharashtra,Pune,790
2025-11-02 10:00:00,Tamil Nadu,Chennai,1141
2025-11-02 10:00:00,Tamil Nadu,Coimbatore,521
2025-11-02 10:00:00,Telangana,Hyderabad,1247
2025-11-02 10:00:00,West Bengal,Kolkata,920
2025-11-02 11:00:00,Delhi,New Delhi,1922
2025-11-02 11:00:00,Goa,Panaji,214
2025-11-02 11:00:00,Goa,Vasco da Gama,146
2025-11-02 11:00:00,Gujarat,Ahmedabad,1050
2025-11-02 11:00:00,Gujarat,Surat,923
2025-11-02 11:00:00,Gujarat,Vadodara,545
2025-11-02 11:00:00,Karnataka,Bengaluru,1777
2025-11-02 11:00:00,Karnataka,Mangaluru,338
2025-11-02 11:00:00,Karnataka,Mysuru,419
2025-11-02 11:00:00,Maharashtra,Kolhapur,272
2025-11-02 11:00:00,Maharashtra,Mumbai,1913
2025-11-02 11:00:00,Maharashtra,Nagpur,446
2025-11-02 11:00:00,Maharashtra,Pune,801
2025-11-02 11:00:00,Tamil Nadu,Chennai,1187
2025-11-02 11:00:00,Tamil Nadu,Coimbatore,640
2025-11-02 11:00:00,Telangana,Hyderabad,1298
2025-11-02 11:00:00,West Bengal,Kolkata,884
2025-11-02 12:00:00,Delhi,New Delhi,2034
2025-11-02 12:00:00,Goa,Panaji,209
2025-11-02 12:00:00,Goa,Vasco da Gama,140
2025-11-02 12:00:00,Gujarat,Ahmedabad,1090
2025-11-02 12:00:00,Gujarat,Surat,859
2025-11-02 12:00:00,Gujarat,Vadodara,499
2025-11-02 12:00:00,Karnataka,Bengaluru,1774
2025-11-02 12:00:00,Karnataka,Mangaluru,320
2025-11-02 12:00:00,Karnataka,Mysuru,432
2025-11-02 12:00:00,Maharashtra,Kolhapur,270
2025-11-02 12:00:00,Maharashtra,Mumbai,1828
2025-11-02 12:00:00,Maharashtra,Nagpur,465
2025-11-02 12:00:00,Maharashtra,Pune,804
2025-11-02 12:00:00,Tamil Nadu,Chennai,1194
2025-11-02 12:00:00,Tamil Nadu,Coimbatore,606
2025-11-02 12:00:00,Telangana,Hyderabad,1304
2025-11-02 12:00:00,West Bengal,Kolkata,921
2025-11-02 13:00:00,Delhi,New Delhi,1941
2025-11-02 13:00:00,Goa,Panaji,230
2025-11-02 13:00:00,Goa,Vasco da Gama,143
2025-11-02 13:00:00,Gujarat,Ahmedabad,1055
2025-11-02 13:00:00,Gujarat,Surat,879
2025-11-02 13:00:00,Gujarat,Vadodara,497
2025-11-02 13:00:00,Karnataka,Bengaluru,1752
2025-11-02 13:00:00,Karnataka,Mangaluru,317
2025-11-02 13:00:00,Karnataka,Mysuru,412
2025-11-02 13:00:00,Maharashtra,Kolhapur,260
2025-11-02 13:00:00,Maharashtra,Mumbai,1872
2025-11-02 13:00:00,Maharashtra,Nagpur,453
2025-11-02 13:00:00,Maharashtra,Pune,814
2025-11-02 13:00:00,Tamil Nadu,Chennai,1141
2025-11-02 13:00:00,Tamil Nadu,Coimbatore,561
2025-11-02 13:00:00,Telangana,Hyderabad,1261
2025-11-02 13:00:00,West Bengal,Kolkata,887
2025-11-02 14:00:00,Delhi,New Delhi,1074
2025-11-02 14:00:00,Goa,Panaji,132
2025-11-02 14:00:00,Goa,Vasco da Gama,87
2025-11-02 14:00:00,Gujarat,Ahmedabad,528
2025-11-02 14:00:00,Gujarat,Surat,443
2025-11-02 14:00:00,Gujarat,Vadodara,266
2025-11-02 14:00:00,Karnataka,Bengaluru,845
2025-11-02 14:00:00,Karnataka,Mangaluru,171
2025-11-02 14:00:00,Karnataka,Mysuru,205
2025-11-02 14:00:00,Maharashtra,Kolhapur,158
2025-11-02 14:00:00,Maharashtra,Mumbai,980
2025-11-02 14:00:00,Maharashtra,Nagpur,263
2025-11-02 14:00:00,Maharashtra,Pune,463
2025-11-02 14:00:00,Tamil Nadu,Chennai,623
2025-11-02 14:00:00,Tamil Nadu,Coimbatore,319
2025-11-02 14:00:00,Telangana,Hyderabad,666
2025-11-02 14:00:00,West Bengal,Kolkata,492
2025-11-02 15:00:00,Delhi,New Delhi,964
2025-11-02 15:00:00,Goa,Panaji,119
